date,Open,High,Low,Close,Adj Close,Volume
6/22/2020,120.5,123.110001,119.099998,122.43,121.326233,4671200
6/23/2020,123.029999,124.43,121.260002,121.5,120.404617,4307000
6/24/2020,121.169998,121.989998,118.629997,119.720001,118.640671,4181600
6/25/2020,119.389999,119.949997,118.290001,119.809998,118.729851,2759500
6/26/2020,120,120.650002,116.75,117.019997,115.965012,6670800
6/29/2020,117.489998,119.279999,116.769997,118.57,117.501038,3258900
6/30/2020,118.879997,120.440002,118.269997,119.93,118.84877,3633900
7/1/2020,119.910004,120.360001,118.830002,118.959999,117.88752,2836400
7/2/2020,119.980003,120.589996,118.889999,119.120003,118.046082,2216100
7/6/2020,120.010002,120.25,117.980003,119.239998,118.164993,3766400
7/7/2020,118.300003,119.550003,117.809998,118.059998,116.995628,3908300
7/8/2020,118.150002,118.5,116.730003,117.699997,116.638878,2845100
7/9/2020,117.459999,119.309998,117.129997,117.900002,116.837082,2861000
7/10/2020,117.82,118.980003,117.059998,118.860001,117.788422,2033500
7/13/2020,119.379997,121.760002,118.379997,118.730003,117.659599,3469700
7/14/2020,118.739998,120.169998,117.419998,120.080002,118.997429,2578200
7/15/2020,121.309998,122.720001,120.010002,121.669998,120.57309,3533900
7/16/2020,121.260002,122.989998,121.139999,121.949997,120.850555,3109900
7/17/2020,122.639999,123.209999,121.449997,121.669998,120.57309,2715500
7/20/2020,121.540001,121.870003,119.040001,119.82,118.739769,3825900
7/21/2020,120.349998,120.989998,120.019997,120.199997,119.116341,3195400
7/22/2020,120.300003,123.18,120,123.139999,122.029831,3876600
7/23/2020,123.449997,123.599998,121.940002,122.349998,121.246964,3267500
7/24/2020,122.540001,125.529999,122.059998,123.709999,122.594696,3832900
7/27/2020,124.25,124.489998,122.160004,122.690002,121.583893,2423400
7/28/2020,122.610001,124.459999,122.120003,123.290001,122.178482,2337000
7/29/2020,123.470001,124.480003,122.900002,123.68,122.564972,2095800
7/30/2020,122.330002,125.419998,121.82,124.580002,123.456856,3606300
7/31/2020,124.279999,125.93,123.790001,125.879997,124.745132,3268100
8/3/2020,126.5,128.240005,126.25,127.839996,126.687454,3319200
8/4/2020,127.93,130.770004,127.580002,130.449997,129.273941,3924500
8/5/2020,130.75,131.929993,128.660004,129.369995,128.203674,3692300
8/6/2020,129.5,129.929993,128.130005,129.009995,127.846909,1979900
8/7/2020,129.240005,131.880005,129,131.75,130.56221,2300500
8/10/2020,132.070007,134.110001,131.25,132.940002,131.741486,3002900
8/11/2020,133.710007,134.589996,131.350006,131.720001,130.532486,3915900
8/12/2020,135.110001,135.110001,132.770004,134.600006,133.38652,4863300
